entity	label	definition	synonyms
DOID_0081067	N1 diffuse large B-cell lymphoma	A diffuse large B-cell lymphoma that is categorized as N1 with high probability by the LymphGen algorithm. This is based on a combination of genetic features. Although N1 DLBCLs always have an activating mutation affecting NOTCH1, LymphGen can assign cases with this mutation to other classes, depending on the presence of other genetic features.	N1 DLBCL
DOID_0081068	ST2 diffuse large B-cell lymphoma	A diffuse large B-cell lymphoma that is categorized as ST2 with high probability by the LymphGen algorithm. This is based on a combination of genetic features and ST2 DLBCLs often, but do not always, have missense or nonsense mutations affecting TET2 and NFKBIA. This subgroup also commonly has mutations due to aberrant somatic hypermutation affecting some combination of SGK1, ZFP36L1, SOCS1, HIST1H1E and CD83, which can be coding or non-coding.	ST2 DLBCL
DOID_0081069	A53 diffuse large B-cell lymphoma	A diffuse large B-cell lymphoma that is characterized by aneuploidy with TP53 inactivation.	A53 DLBCL
DOID_0081070	EZB-MYC+ diffuse large B-cell lymphoma	An EZB diffuse large B-cell lymphoma that expresses the double hit gene expression signature (DHITsig+) according to gene expression profiling. In addition to the features characteristic of EZB, these cases commonly, but do not always, harbour MYC translocations and DDX3X mutations.	EZB-MYC+ DLBCL
DOID_0081071	EZB-MYC- diffuse large B-cell lymphoma	An EZB diffuse large B-cell lymphoma that does not express the double hit gene expression signature (DHITsig-) according to gene expression profiling. These cases tend to have few MYC translocations or DDX3X mutations.	EZB-MYC- DLBCL
DOID_0081072	craniofacial dysmorphism, skeletal anomalies, and mental retardation syndrome	A syndrome that is characterized by abnormal development of the brain and structures in the face and torso including facial dysmorphism, intellectual deficit costovertebral abnormalities, and delayed development of speech and movement (motor) skills.	Cerebro-facio-thoracic dysplasia; Cerebrofaciothoracic dysplasia; Pascual-Castroviejo syndrome; TMCO1 defect syndrome
DOID_0081073	Teebi hypertelorism syndrome	A syndrome characterized by hypertelorism, prominent forehead, thick eyebrows, and short nose with broad and depressed features.	Brachycephalofrontonasal dysplasia
DOID_0081074	Teebi hypertelorism syndrome 2	A Teebi hypertelorism syndrome that has_material_basis_in mutation in heterozygous mutation in the CDH11 gene on chromosome 16q21.	
DOID_0081075	Marsili syndrome	A syndrome that is characterized by a lowered ability to sense pain, to experience temperature, and to sweat and that has_material_basis_in heterozygous mutation in the ZFHX2 gene on chromosome 14q11.	congenital analgesia; congenital insensitivity to pain
DOID_0081076	blastic plasmacytoid dendritic cell neoplasm	An acute leukemia that is derived from the precursors of plasmacytoid dendritic cells, with a high frequency of cutaneous and bone marrow involvement and leukemic dissemination. Skin lesions appearing on the arms, legs, face and neck are the most common BPDCN symptom. Other symptoms include low counts of healthy blood cells and swollen lymph nodes.	Agranular CD4+ CD56+ Hematodermic Neoplasm/Tumor; Agranular CD4+ Natural Killer Cell Leukemia; Blastic NK-Cell Lymphoma; Blastic Natural Killer Leukemia/Lymphoma; CD4+/CD56+ Hematodermic Neoplasm; natural killer (NK) cell leukemia/lymphoma
DOID_0081077	ectodermal dysplasia and immune deficiency	An ectodermal dysplasia syndrome that is characterized by signs of ectodermal dysplasia (sparse hair, abnormal or missing teeth, decrease or absent sudation), typical facial features (protruding forehead, wrinkles under the eyes, characteristic periorbital hyperpigmentation), and immunodeficiency.	Anhidrotic ectodermal dysplasia with immune deficiency; Ectodermal dysplasia, hypohidrotic, with immune deficiency
DOID_0081078	ectodermal dysplasia and immunodeficiency 1	An ectodermal dysplasia and immunodeficiency that is characterized by onset of recurrent severe infections due to immunodeficiency in early infancy or in the first years of life and that has_material_basis_in hemizygous mutation in the IKK-gamma gene (IKBKG) on chromosome Xq28.	
DOID_0081079	ectodermal dysplasia and immunodeficiency 2	An ectodermal dysplasia and immunodeficiency that is characterized by variable features of ectodermal dysplasia (e.g., hypo/anhidrosis, sparse hair, tooth anomalies) and various immunologic and infectious phenotypes of differing severity and that has_material_basis_in heterozygous mutation in the NFKBIA gene on chromosome 14q13.	
DOID_0081080	acute myeloid leukemia with t(6;9) (p23;q34.1)	An acute myeloid leukemia associated with t(6;9)(p23;q34), resulting in DEK-NUP214(CAN) fusion protein expression. It is often associated with multilineage dysplasia and basophilia.	Acute Myeloid Leukemia with t(6;9) (p23;q34.1); DEK-NUP214; DEK-NUP214; acute myeloid leukemia with t(6;9)(p23;q34)
DOID_0081081	acute promyelocytic leukemia with PML-RARA	An acute promyelocytic leukemia that is characterized by a severe coagulopathy and the t(15;17)(q24;q21), generating a PML-RARA fusion gene, and where abnormal promyelocytes predominate.	acute promyelocytic leukemia, t(15;17)(q22;q11-12)
DOID_0081082	acute myelomonocytic leukemia	An acute myeloid leukemia that is characterized by the proliferation of both neutrophil and monocyte precursors.	
DOID_0081083	acute myeloid leukemia with inv(3) (q21.3;q26.2) or t(3;3) (q21.3;q26.2)	An acute myeloid leukemia associated with inv(3)(q21q26.2) or t(3;3)(q21;q26.2), resulting in the expression of RPN1-EVI1 fusion protein and the reposition of a distal GATA2 enhancer to activate MECOM expression.	Acute Myeloid Leukemia with inv(3) (q21.3;q26.2) or t(3;3) (q21.3;q26.2); GATA2, MECOM; Acute myeloid leukemia with inv(3)(q21;q26.2) or t(3;3)(q21;q26.2); RPN1-EVI1
DOID_0081084	acute myeloid leukemia with inv(16)(p13.1q22) or t(16;16)(p13.1;q22)	An acute myeloid leukemia that is characterized by the presence of abnormal bone marrow eosinophils and the characteristic cytogenetic abnormality inv(16)(p13.1q22) or t(16;16)(p13.1;q22), which results in the expression of the fusion protein CBFB-MYH11.	Acute Myeloid Leukemia with inv(16)(p13.1q22) or t(16;16)(p13.1;q22); CBFB-MYH11; acute myeloid leukemia with abnormal marrow eosinophils
DOID_0081085	acute myeloid leukemia with minimal differentiation	An acute myeloid leukemia in which the blasts do not show evidence of myeloid differentiation by morphology and conventional cytochemistry.	AML-M0; Acute myeloid leukemia, minimal differentiation
DOID_0081086	acute myeloid leukemia without maturation	An acute myeloid leukemia that is characterized by blasts without evidence of significant maturation in the neutrophilic lineage.	
DOID_0081087	acute myeloid leukemia with maturation	An acute myeloid leukemia characterized by blasts with evidence of significant maturation in the neutrophilic lineage.	
DOID_0081088	chronic myelogenous leukemia, BCR-ABL1 positive	A chronic myeloid leukemia that is characterized by an abnormally high number of neutrophils and the expression of the BCR-ABL1 fusion gene.	Chronic myelogenous leukemia, BCR/ABL positive
DOID_0081089	acute myeloid leukemia with mutated NPM1	An acute myeloid leukemia with mutation of the nucleophosmin gene. It is usually associated with normal karyotype and frequently has myelomonocytic or monocytic features.	
DOID_0081090	acute myeloid leukemia with biallelic mutation of CEBPA	An acute myeloid leukemia with double mutations of the CEBPA gene.	
DOID_0081091	acute myeloid leukemia with mutated RUNX1	An acute myeloid leukemia that is characterized by de novo RUNX1 gene mutation, not associated with myelodysplastic syndrome-related cytogenetic abnormalities.	
DOID_0081092	acute myeloid leukemia with myelodysplasia-related changes	An acute myeloid leukemia with at least 20% blasts in the bone marrow or blood and one of the following: a previous history of myelodysplastic syndrome; multilineage dysplasia; or myelodysplastic syndrome-related cytogenetic abnormalities.	
DOID_0081093	acute myeloid leukemia with t(8;21); (q22; q22.1)	An acute myeloid leukemia associated with t(8;21)(q22;q22) resulting in RUNX1-RUNX1T1 fusion protein expression. The bone marrow and the peripheral blood show large myeloblasts with abundant basophilic cytoplasm, often containing azurophilic granules.	Acute Myeloid Leukemia with t(8;21); (q22; q22.1); RUNX1-RUNX1T1; acute myeloid leukemia, t(8;21)(q22;q22)
DOID_0081094	acute myeloid leukemia with MLL rearrangement	An acute myeloid leukemia characterized by rearrangement of the MLL (mixed-lineage leukemia) gene.	Acute Myeloid Leukemia with KMT2A/MLL Rearrangement; acute myeloid leukemia, 11q23 abnormalities
DOID_0081095	acute myeloid leukemia with mutated CEBPA	An acute myeloid leukemia with non-germline mutations of the CEBPA gene.	
DOID_0081096	acute myeloid leukemia with t(1;22)(p13;q13)	An acute myeloid leukemia typically showing megakaryocytic maturation and associated with t(1;22)(p13;q13), resulting in the expression of RBM15-MKL1 fusion protein.	Acute Myeloid Leukemia (Megakaryoblastic) with t(1;22)(p13.3;q13.1); RBM15-MKL1
DOID_0081097	Rafiq syndrome	An autosomal recessive intellectual developmental disorder that is characterized by variably impaired intellectual and motor development, a characteristic facial dysmorphism, truncal obesity, and hypotonia and that has_material_basis_in homozygous mutation in the MAN1B1 gene on chromosome 9q34.	MENTAL RETARDATION, AUTOSOMAL RECESSIVE 15
DOID_0081098	autosomal recessive intellectual developmental disorder 13	An autosomal recessive intellectual developmental disorder that has_material_basis_in homozygous mutation in the TRAPPC9 gene on chromosome 8q24.	
DOID_0081099	neurodevelopmental disorder with brain abnormalities, poor growth, and dysmorphic facies	An autosomal recessive intellectual developmental disorder that is characterized by global developmental delay with delayed walking, impaired intellectual development, and speech delay apparent from infancy or early childhood and that has_material_basis_in homozygous mutation in the ADAT3 gene on chromosome 19p13.	autosomal recessive mental retardation 36
DOID_0081100	spastic paraplegia with deafness	A hereditary spastic paraplegia that is characterized spastic paraplegia, tremor, cataracts, deafness, short stature, and hypogonadism presenting in the end of the first decade of life.	Spastic paraparesis-deafness syndrome; Wells Jankovic Syndrome
DOID_0081101	nonautoimmune hyperthyroidism	A hyperthyroidism that is characterized by passive transfer of maternal autoantibodies and that has_material_basis_in heterozygous mutation in the thyroid-stimulating hormone receptor gene (TSHR) on chromosome 14q31.	Congenital nonautoimmune hyperthyroidism
DOID_0081102	familial gestational hyperthyroidism	A hyperthyroidism that is characterized by promiscuous stimulation of the thyrotropin receptor by the excess chorionic gonadotropin and that has_material_basis_in heterozygous mutation in the gene encoding the thyroid-stimulating hormone receptor (TSHR) on chromosome 14q31.	
DOID_0081104	hot water epilepsy	A reflex epilepsy that is characterized by seizures triggered by the stimulus of bathing with hot water poured over the head.	bathing epilepsy; water immersion epilepsy
DOID_0081105	keratosis palmoplantaris striata	A palmoplantar keratosis that is characterized by hyperkeratotic lesions that are restricted to the pressure regions extending longitudinally in the length of each finger to the palm.	
DOID_0081106	hot water epilepsy 1	A hot water epilepsy that has_material_basis_in a susceptibility locus for hot water epilepsy (HWE1) mapped to chromosome 10q21.3-q22.3.	Hot Water Epilepsy, 1
DOID_0081107	hot water epilepsy 2	A hot water epilepsy that has_material_basis_in linkage to chromosome 4q24-q28.	Hot Water Epilepsy, 2
DOID_0081108	keratosis palmoplantaris striata 1	A keratosis palmoplantaris striata that is characterized by hyperkeratotic lesions that are restricted to the pressure regions extending longitudinally in the length of each finger to the palm and that has_material_basis_in heterozygous mutation in the DSG1 gene on chromosome 18q12.	
DOID_0081109	keratosis palmoplantaris striata 2	A keratosis palmoplantaris striata that is characterized by linear hyperkeratosis of the palms, which is particularly evident in affected individuals who perform manual labor and that has_material_basis_in heterozygous mutation in the DSP gene on chromosome 6p24.	
DOID_0081110	keratosis palmoplantaris striata 3	A keratosis palmoplantaris striata that has_material_basis_in heterozygous mutation in the keratin-1 gene (KRT1) on chromosome 12q13.	
DOID_0081111	osteosclerotic metaphyseal dysplasia	A metaphyseal dysplasia that is characterized by distinctive radiographic changes, including osteosclerosis localized predominantly to the metaphyses of the long bones and that has_material_basis_in homozygous mutation in the LRRK1 gene on chromosome 15q26.	
DOID_0081112	Baraitser-Winter syndrome 1	A Baraitser-Winter syndrome that has_material_basis_in heterozygous mutation in the ACTB gene on chromosome 7p22. A subset of patients have a larger deletion of chromosome 7p22 including the ACTB gene and additional variable genes, consistent with a contiguous gene deletion syndrome.	
DOID_0081113	Baraitser-Winter syndrome 2	A Baraitser-Winter syndrome that has_material_basis_in heterozygous mutation in the ACTG1 gene on chromosome 17q25.	
DOID_0081114	benign familial infantile seizures 1	A benign familial infantile epilepsy that is characterized by afebrile partial complex or generalized tonic-clonic seizures occurring between 3 and 12 months of age with a good response to medication and no neurologic sequelae and that has_material_basis_in the BFIS1 locus mapped to chromosome 19q.	Benign Familial Infantile Seizures, 1
DOID_0081115	benign familial infantile seizures 2	A benign familial infantile epilepsy that is characterized by afebrile partial complex or generalized tonic-clonic seizures occurring between 3 and 12 months of age with a good response to medication and no neurologic sequelae and that has_material_basis_in mutation in the PRRT2 gene on chromosome 16p11.	Benign Familial Infantile Seizures, 2
DOID_0081116	benign familial infantile seizures 3	A benign familial infantile epilepsy that is characterized by afebrile partial complex or generalized tonic-clonic seizures occurring between 3 and 12 months of age with a good response to medication and no neurologic sequelae and that has_material_basis_in mutations in the SCN2A gene on chromosome 2q24.	Benign Familial Infantile Seizures, 3; benign familial neonatal-infantile seizures
DOID_0081117	benign familial infantile seizures 4	A benign familial infantile epilepsy that is characterized by afebrile partial complex or generalized tonic-clonic seizures occurring between 3 and 12 months of age with a good response to medication and no neurologic sequelae and that has_material_basis_in an association on chromosome 1p36.12-p35.1.	Benign Familial Infantile Seizures, 4
DOID_0081118	benign familial infantile seizures 5	A benign familial infantile epilepsy that is characterized by afebrile partial complex or generalized tonic-clonic seizures occurring between 3 and 12 months of age with a good response to medication and no neurologic sequelae and that has_material_basis_in mutation in the SCN8A gene on chromosome 12q13.	Benign Familial Infantile Seizures, 5
DOID_0081120	Graves ophthalmopathy	An autoimmune disease of eyes, ear, nose and throat that is characterized by upper eyelid retraction, lid lag, swelling, redness, conjunctivitis, and bulging eyes.	Graves orbitopathy; Thyroid associated ophthalmopathy; thyroid eye disease
DOID_0081121	inclusion body myopathy and brain white matter abnormalities	An inclusion body myopathy with Paget disease of bone and frontotemporal dementia that is characterized by proximal limb girdle muscle weakness affecting the lower and upper limbs and resulting in gait difficulties and scapular winging and that has_material_basis_in heterozygous mutation in the ANXA11 gene on chromosome 10q22.	multisystem proteinopathy 6
DOID_0081122	Catel Manzke syndrome	A bone disease that is characterized by the Pierre Robin anomaly, which comprises cleft palate, glossoptosis, and micrognathia, and a unique form of bilateral hyperphalangy in which there is an accessory bone inserted between the second metacarpal and its corresponding proximal phalanx, resulting in radial deviation of the index finger and that has_material_basis_in homozygous or compound heterozygous mutation in the TGDS gene on chromosome 13q32.	Hyperphalangy-clinodactyly of index finger with Pierre Robin syndrome; Micrognathia digital syndrome
DOID_0081123	X-linked mental retardation Gustavson type	A syndromic X-linked intellectual disability that is characterized by intrauterine growth retardation, microcephaly, hypotonia, and severe global developmental delay, usually resulting in death in infancy or early childhood that has_material_basis_in hemizygous mutation in the RBMX gene on chromosome Xq26.	Gustavson type of X-linked syndromic intellectual developmental disorder; mental retardation with optic atrophy, deafness and seizures
DOID_0081124	craniofacial dysmorphism, skeletal anomalies, and impaired intellectual development syndrome 1	A craniofacial dysmorphism, skeletal anomalies, and mental retardation syndrome that is characterized by cranial involvement with macrocrania at birth, brachycephaly, anomalies of middle fossa structures including hypoplasia of corpus callosum, enlargement of septum pellucidum, and dilated lateral ventricles, as well as cortical atrophy and hypodensity of the gray matter and that has_material_basis_in homozygous mutation in the TMCO1 gene on chromosome 1q24.	
DOID_0081125	craniofacial dysmorphism, skeletal anomalies, and impaired intellectual development syndrome 2	A craniofacial dysmorphism, skeletal anomalies, and mental retardation syndrome that is characterized by flat face, low-set ears, and cleft lip and palate, as well as costovertebral anomalies including bifid and fused ribs, vertebral segmentation defects, and scoliosis. Intellectual delay can be severe, with absent speech and that has_material_basis_in homozygous mutation in the RAB5IF gene on chromosome 20q11.	
DOID_0081126	DeSanto-Shinawi syndrome	A syndrome that is characterized by global developmental delay apparent in infancy or early childhood and associated with characteristic dysmorphic facial features, such as broad forehead, depressed nasal bridge with bulbous nasal tip, and deep-set eyes and that has_material_basis_in heterozygous mutation in the WAC gene on chromosome 10p11 or deletion at chromosome 10p12-p11.	Chromosome 10p12-p11 deletion syndrome; Facial dysmorphism-developmental delay-behavioral abnormalities syndrome due to 10p11.21p12.31 microdeletion; Facial dysmorphism-developmental delay-behavioral abnormalities syndrome due to WAC point mutation; WAC-related facial dysmorphism-developmental delay-behavioral abnormalities syndrome
DOID_0081127	mandibuloacral dysplasia	A bone development disease that is characterized by underdevelopment of the lower jaw and the collarbone, bone loss at the ends of the fingers and toes, skin degeneration, and partial lipodystrophy, a condition marked by selective loss of body fat from various areas of the body.	
DOID_0081128	mandibuloacral dysplasia type A lipodystrophy	A mandibuloacral dysplasia that has_material_basis_in homozygous or compound heterozygous mutation in the gene encoding lamin A/C (LMNA) on chromosome 1q22 and that is characterized by growth retardation, craniofacial anomalies with mandibular hypoplasia, skeletal abnormalities with progressive osteolysis of the distal phalanges and clavicles, and pigmentary skin changes. The lipodystrophy is characterized by a marked acral loss of fatty tissue with normal or increased fatty tissue in the neck and trunk.	
DOID_0081129	mandibuloacral dysplasia type B lipodystrophy	A mandibuloacral dysplasia that has_material_basis_in compound heterozygous mutation in the ZMPSTE24 gene on chromosome 1p34 and that is characterized by postnatal growth retardation, craniofacial anomalies such as mandibular hypoplasia, skeletal anomalies such as progressive osteolysis of the terminal phalanges and clavicles, and skin changes such as mottled hyperpigmentation and atrophy. The lipodystrophy is characterized by generalized loss of subcutaneous fat involving the face, trunk, and extremities.	
DOID_0081130	BH4-deficient hyperphenylalaninemia C	A tetrahydrobiopterin (BH4)-deficient hyperphenylalaninemia that is characterized by hyperphenylalaninemia, depletion of the neurotransmitters dopamine and serotonin, and progressive cognitive and motor deficits and that has_material_basis_in homozygous or compound heterozygous mutation in the QDPR gene, which encodes an enzyme involved in the salvage pathway for BH4, on chromosome 4p15.	tetrahydrobiopterin (BH4)-deficient hyperphenylalaninemia due to dihydropteridine reductase deficiency
DOID_0081131	BH4-deficient hyperphenylalaninemia D	A tetrahydrobiopterin (BH4)-deficient hyperphenylalaninemia that is characterized by mild transient hyperphenylalaninemia often detected by newborn screening and that has_material_basis_in homozygous or compound heterozygous mutation in the PCBD gene, which encodes an enzyme involved in the salvage pathway for BH4, on chromosome 10q22.	tetrahydrobiopterin (BH4)-deficient hyperphenylalaninemia (HPA) due to pterin-4-alpha-carbinolamine dehydratase deficiency
DOID_0081132	tetrahydrobiopterin (BH4)-deficient hyperphenylalaninemia	An amino acid metabolic disorder that are characterized phenotypically by hyperphenylalaninemia, depletion of the neurotransmitters dopamine and serotonin, and progressive cognitive and motor deficits and that has_material_basis_in autosomal recessive mutations in the genes encoding enzymes involved in the synthesis or regeneration of BH4.	
DOID_0081133	3-methylglutaconic aciduria type 7a	A 3-methylglutaconic aciduria that is characterized primarily by increased levels of 3-methylglutaconic acid (3-MGA) associated with variable neurologic deficits and neutropenia and that has_material_basis_in heterozygous dominant-negative mutation in the CLPB gene on chromosome 11q13.	
DOID_0081134	3-methylglutaconic aciduria type 7b	A 3-methylglutaconic aciduria that has_material_basis_in homozygous or compound heterozygous loss-of-function mutations in the CLPB gene on chromosome 11q13.	
DOID_0081135	agammaglobulinemia 2	An agammaglobulinemia that has_material_basis_in homozygous or compound heterozygous mutation in the immunoglobulin lambda-like-1 gene (IGLL1) on chromosome 22q11.	
DOID_0081136	agammaglobulinemia 1	An agammaglobulinemia that has_material_basis_in homozygous or compound heterozygous mutation in the mu heavy-chain gene (IGHM) on chromosome 14q32.	
DOID_0081137	agammaglobulinemia 3	An agammaglobulinemia that has_material_basis_in homozygous mutation in the CD79A gene on chromosome 19q13.2.	
DOID_0081138	agammaglobulinemia 6	An agammaglobulinemia that has_material_basis_in homozygous mutation in the CD79B gene on chromosome 17q23.	
DOID_0081139	agammaglobulinemia 7	An agammaglobulinemia that has_material_basis_in homozygous mutation in the PIK3R1 gene on chromosome 5q13.	
DOID_0081140	agammaglobulinemia 8A	An agammaglobulinemia that has_material_basis_in heterozygous dominant-negative mutation in the TCF3 gene on chromosome 19p13.	
DOID_0081141	agammaglobulinemia 9	An agammaglobulinemia that is characterized by recurrent bacterial infections associated with agammaglobulinemia and absence of circulating B cells and that has_material_basis_in homozygous or compound heterozygous mutation in the SLC39A7 gene on chromosome 6p21.	
DOID_0081142	agammaglobulinemia 10	An agammaglobulinemia that is characterized by early-childhood onset of recurrent viral and bacterial infections affecting various organ systems, particularly the sinopulmonary system, and that has_material_basis_in heterozygous mutation in the SPI1 gene on chromosome 11p11.	
DOID_0081143	agammaglobulinemia 8B	An agammaglobulinemia that is characterized by onset of recurrent infections in early childhood and that has_material_basis_in homozygous loss-of-function mutation in the TCF3 gene on chromosome 19p13.	
DOID_0081144	common variable immunodeficiency 1	A common variable immunodeficiency that has_material_basis_in homozygous mutation in the ICOS gene on chromosome 2q33.	
DOID_0081145	common variable immunodeficiency 2	A common variable immunodeficiency that has_material_basis_in heterozygous, homozygous, or compound heterozygous mutation in the TNFRSF13B gene, which encodes the transmembrane activator and CAML interactor (TACI), on chromosome 17p11.2.	
DOID_0081146	common variable immunodeficiency 3	A common variable immunodeficiency that has_material_basis_in homozygous or compound heterozygous mutation in the CD19 gene on chromosome 16p11.2.	
DOID_0081147	common variable immunodeficiency 4	A common variable immunodeficiency that has_material_basis_in homozygous mutation in the BAFFR gene (TNFRSF13C), which encodes the B-cell activating factor receptor, on chromosome 22q13.	
DOID_0081148	common variable immunodeficiency 5	A common variable immunodeficiency that has_material_basis_in homozygous mutation in the CD20 gene (MS4A1) on chromosome 11q13.	
DOID_0081149	common variable immunodeficiency 6	A common variable immunodeficiency that has_material_basis_in homozygous mutation in the CD81 gene on chromosome 11p.	
DOID_0081150	common variable immunodeficiency 7	A common variable immunodeficiency that has_material_basis_in compound heterozygous mutation in the CD21 gene (CR2) on chromosome 1q32.	
DOID_0081151	common variable immunodeficiency 8	A common variable immunodeficiency that has_material_basis_in homozygous mutation in the LRBA gene on chromosome 4q31.	common variable immunodeficiency-8 (CVID8) with autoimmunity
DOID_0081152	common variable immunodeficiency 10	A common variable immunodeficiency that has_material_basis_in heterozygous mutation in the NFKB2 gene on chromosome 10q24.	
DOID_0081153	common variable immunodeficiency 11	A common variable immunodeficiency that has_material_basis_in homozygous mutation in the IL21 gene on chromosome 4q27.	
DOID_0081154	common variable immunodeficiency 12	A common variable immunodeficiency that is characterized by recurrent infections and associated with hypogammaglobulinemia and that has_material_basis_in heterozygous mutation in the NFKB1 gene on chromosome 4q24.	
DOID_0081155	common variable immunodeficiency 13	A common variable immunodeficiency that is characterized by recurrent bacterial infections, mainly affecting the respiratory tract, and associated with hypogammaglobulinemia and decreased numbers of B cells and that has_material_basis_in heterozygous mutation in the IKZF1 gene on chromosome 7p12.	
DOID_0081156	common variable immunodeficiency 14	A common variable immunodeficiency that has_material_basis_in heterozygous mutation in the IRF2BP2 gene on chromosome 1q42.	
DOID_0081157	dilated cardiomyopathy 1LL	A dilated cardiomyopathy that has_material_basis_in heterozygous mutation in the PRDM16 gene on chromosome 1p36.	
DOID_0081158	dilated cardiomyopathy 1MM	A dilated cardiomyopathy that has_material_basis_in heterozygous mutation in the MYBPC3 gene on chromosome 11p11.	
DOID_0081159	dilated cardiomyopathy 2C	A dilated cardiomyopathy that is characterized by dilated cardiomyopathy of variable severity, with age of onset ranging from 2 to 20 years and that has_material_basis_in homozygous or compound heterozygous mutation in the PPCS gene on chromosome 1p34.	
DOID_0081160	dilated cardiomyopathy 2D	A dilated cardiomyopathy that is characterized by neonatal onset of severe cardiomyopathy, with rapid progression to cardiac decompensation and death unless the patient undergoes heart transplantation and that has_material_basis_in homozygous or compound heterozygous mutation in the RPL3L gene on chromosome 16p13.	
DOID_0081161	dilated cardiomyopathy 2E	A dilated cardiomyopathy that is characterized by neonatal or early childhood onset of dilated cardiomyopathy, with rapid progression to cardiac failure and death unless patients undergo cardiac transplantation and that has_material_basis_in homozygous or compound heterozygous mutation in the JPH2 gene on chromosome 20q13.	
DOID_0081162	dilated cardiomyopathy 2F	A dilated cardiomyopathy that is characterized by refractory ventricular arrhythmias and severe heart failure and that has_material_basis_in homozygous mutation in the BAG5 gene on chromosome 14q32.	
DOID_0081163	dilated cardiomyopathy 2G	A dilated cardiomyopathy that is characterized by early-onset severe dilated cardiomyopathy that progresses rapidly to heart failure in the neonatal period without evidence of intervening hypertrophy and that has_material_basis_in homozygous or compound heterozygous mutation in the LMOD2 gene on chromosome 7q31.	
DOID_0081168	HMG-CoA synthase 2 deficiency	An amino acid metabolic disorder that is characterized clinically by episodes of decompensation (often associated with gastroenteritis or fasting) that present with vomiting, lethargy, hepatomegaly, non ketotic hypoglycemia and, in rare cases, coma and that has_material_basis_in mutation in the HMGCS2 gene on chromosome 1p12.	3-hydroxy-3-methylglutaryl-CoA synthase-2 deficiency
DOID_0081169	Leber congenital amaurosis 19	A Leber congenital amaurosis that has_material_basis_in mutation in the USP45 gene on chromosome 6q16.	
DOID_0081175	short stature, hearing loss, retinitis pigmentosa, and distinctive facies	A syndrome that is characterized by short stature, brachydactyly, dysmorphic facial features, hearing loss, and visual impairment and that has_material_basis_in homozygous or compound heterozygous mutation in the EXOSC2 gene on chromosome 9q34.	
DOID_0081176	hypotonia, ataxia, and delayed development syndrome	A syndrome that is characterized by congenital hypotonia, delayed psychomotor development, variable intellectual disability with speech delay, variable dysmorphic facial features, and ataxia, often associated with cerebellar hypoplasia and that has_material_basis_in heterozygous mutation in the EBF3 gene on chromosome 10q26.	
DOID_0081177	autosomal recessive intellectual developmental disorder 1	An autosomal recessive intellectual developmental disorder that has_material_basis_in homozygous mutation in the gene encoding neurotrypsin (PRSS12) on chromosome 4q25.	
DOID_0081178	autosomal recessive intellectual developmental disorder 2	An autosomal recessive intellectual developmental disorder that has_material_basis_in homozygous mutation in the gene encoding cereblon (CRBN) on chromosome 3p26.	
DOID_0081179	autosomal recessive intellectual developmental disorder 3	An autosomal recessive intellectual developmental disorder that has_material_basis_in homozygous mutation in the CC2D1A gene on chromosome 19p13.	
DOID_0081180	autosomal recessive intellectual developmental disorder 12	An autosomal recessive intellectual developmental disorder that has_material_basis_in homozygous mutation in the ST3GAL3 gene on chromosome 1p34.	
DOID_0081181	autosomal recessive intellectual developmental disorder 5	An autosomal recessive intellectual developmental disorder that has_material_basis_in homozygous mutation in the NSUN2 gene on chromosome 5p15.	
DOID_0081182	autosomal recessive intellectual developmental disorder 6	An autosomal recessive intellectual developmental disorder that has_material_basis_in homozygous mutation in the ionotropic glutamate receptor-6 gene (GRIK2) on chromosome 6q16.	
DOID_0081183	autosomal recessive intellectual developmental disorder 7	An autosomal recessive intellectual developmental disorder that has_material_basis_in homozygous mutation in the TUSC3 gene on chromosome 8p22.	
DOID_0081184	autosomal recessive intellectual developmental disorder 9/26	An autosomal recessive intellectual developmental disorder that has_material_basis_in linkage to a 9.1-Mb region on proximal chromosome 14q between SNPs rs10132585 and rs1278951, termed the MRT9 locus.	
DOID_0081185	autosomal recessive intellectual developmental disorder 10/20	An autosomal recessive intellectual developmental disorder that has_material_basis_in linkage to a 21.7-Mb region in the pericentromeric region of chromosome 16 between SNPs rs7197568 and rs7197227, termed the MRT20 locus.	
DOID_0081186	autosomal recessive intellectual developmental disorder 11	An autosomal recessive intellectual developmental disorder that has_material_basis_in a candidate locus on chromosome 19q, termed MRT11. Haplotype analysis delineated a 5.4-Mb candidate region between SNPs rs2109075 and rs8101149.	
DOID_0081187	autosomal recessive intellectual developmental disorder 4	An autosomal recessive intellectual developmental disorder that has_material_basis_in a candidate locus, termed MRT4, on chromosome 1p21.1-p13.3.	
DOID_0081188	autosomal recessive intellectual developmental disorder 14	An autosomal recessive intellectual developmental disorder that has_material_basis_in homozygous mutation in the TECR gene on chromosome 19p13.	
DOID_0081189	autosomal recessive intellectual developmental disorder 16	An autosomal recessive intellectual developmental disorder that has_material_basis_in a 23.52-Mb region of homozygosity on chromosome 9p23-p13.3 between rs10738277 and rs12376565, designated MRT16.	
DOID_0081190	autosomal recessive intellectual developmental disorder 18	An autosomal recessive intellectual developmental disorder that is characterized by impaired intellectual development with or without epilepsy and that has_material_basis_in homozygous or compound heterozygous mutation in the MED23 gene on chromosome 6q23.	
